Month,2015,2016,2017,2018,2019,2020,2021
Jan,17569000000,18351000000,18608000000,20021000000,20428000000,22243000000,19992000000
Feb,18408000000,20104000000,18784000000,20804000000,22101000000,22933000000,21248000000
Mar,23090000000,19745000000,21577000000,22569000000,26320000000,27292000000,27035000000
Apr,19425000000,20329000000,22125000000,23473000000,25858000000,25115000000,25352000000
May,20563000000,21398000000,23302000000,25353000000,27165000000,25698000000,28179000000
Jun,19382000000,20005000000,22268000000,23091000000,23442000000,24053000000,28425000000
Jul,19495000000,18539000000,21865000000,25261000000,23190000000,23533000000,27505000000
Aug,17367000000,15609000000,17005000000,18501000000,18821000000,20301000000,20307000000
Sep,17082000000,16017000000,17616000000,19852000000,20205000000,18799000000,20504000000
Oct,17755000000,18252000000,21214000000,22597000000,23357000000,22384000000,25369000000
Nov,19165000000,18036000000,21561000000,22927000000,24584000000,24586000000,27804000000
Dec,20801000000,20662000000,26050000000,24874000000,25925000000,25190000000,14658000000
