Month,2015,2016,2017,2018,2019,2020,2021
Jan,2357000,2473000,2396000,2593000,3240000,3458000,3505000
Feb,3267000,3251000,3075000,3768000,4235000,3899000,4355000
Mar,3485000,3410000,3693000,4342000,5016000,3349000,5039000
Apr,3483000,3316000,3689000,3870000,4158000,1694000,4652000
May,2877000,3268000,3304000,4185000,4477000,3611000,4805000
Jun,3075000,3225000,3742000,3612000,4483000,4565000,4793000
Jul,2624000,3211000,3665000,4511000,4910000,4393000,5012000
Aug,2434000,3594000,3518000,3936000,3799000,3964000,4040000
Sep,2385000,3177000,3349000,3777000,4326000,4050000,2969000
Oct,2848000,3460000,4218000,4407000,3836000,4735000,4505000
Nov,2787000,3252000,4375000,4590000,4452000,4635000,4153000
Dec,3430000,3506000,3983000,4087000,3992000,4192000,2220000
